('algorithm', 'FedProx')
('gpu', 1)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.5)
('dataset', 'mnist')
('iid', True)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 1)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
Round 172 global test acc  94.7800
Round 173 global test acc  94.8400
Round 174 global test acc  95.0500
Round 175 global test acc  95.8300
Round 176 global test acc  92.1000
Round 177 global test acc  91.5200
Round 178 global test acc  95.5000
Round 179 global test acc  94.7300
Round 180 global test acc  94.3300
Round 181 global test acc  96.1900
Round 182 global test acc  92.3800
Round 183 global test acc  93.2900
Round 184 global test acc  93.0800
Round 185 global test acc  94.3600
Round 186 global test acc  91.1000
Round 187 global test acc  93.7900
Round 188 global test acc  91.4400
Round 189 global test acc  92.1800
Round 190 global test acc  91.0900
Round 191 global test acc  92.9400
Round 192 global test acc  93.7700
Round 193 global test acc  94.5800
Round 194 global test acc  94.6800
Round 195 global test acc  93.9900
Round 196 global test acc  93.4600
Round 197 global test acc  93.0700
Round 198 global test acc  94.6400
Round 199 global test acc  93.1500
time : 3287.813883781433
('algorithm', 'FedProx')
('gpu', 1)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.7)
('dataset', 'mnist')
('iid', True)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 1)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cuda', index=1))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7467
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8850
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5900
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5967
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8500
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5417
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7600
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.4783
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5183
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.5117
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.8050
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.5383
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.5250
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5683
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5783
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.5017
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5783
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7650
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.8083
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5383
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7067
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8817
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.7067
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6000
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4567
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8483
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8183
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.5100
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.5200
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8383
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.7083
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.6167
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.4867
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.5100
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.7133
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7650
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8800
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.7883
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6083
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7917
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4883
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7467
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.7850
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4267
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6117
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5283
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.6050
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5667
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.5767
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.4817
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7850
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4833
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.7167
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5233
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6617
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5500
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.6417
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6700
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5267
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.4400
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8250
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.6383
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5383
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8017
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8717
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.8167
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7833
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.5100
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8400
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.7333
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8367
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.7100
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.4733
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.9100
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.5083
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7767
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.6067
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5450
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.5167
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7783
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5617
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.6950
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8700
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5417
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.4900
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6083
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.8083
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8883
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.5150
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6033
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5450
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5217
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5900
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.7967
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.5300
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8333
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.8017
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7300
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.5650
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.5417
Round 0 global test acc  46.5900
Round 1 global test acc  67.0400
Round 2 global test acc  70.5000
Round 3 global test acc  75.5900
Round 4 global test acc  80.9600
Round 5 global test acc  79.8000
Round 6 global test acc  79.6900
Round 7 global test acc  81.9300
Round 8 global test acc  83.3600
Round 9 global test acc  82.6100
Round 10 global test acc  86.3100
Round 11 global test acc  85.9700
Round 12 global test acc  84.8800
Round 13 global test acc  86.6000
Round 14 global test acc  86.7300
Round 15 global test acc  86.0400
Round 16 global test acc  87.1300
Round 17 global test acc  85.4500
Round 18 global test acc  88.2000
Round 19 global test acc  88.4900
Round 20 global test acc  86.1300
Round 21 global test acc  89.3100
Round 22 global test acc  84.9000
Round 23 global test acc  88.6500
Round 24 global test acc  88.8300
Round 25 global test acc  89.7000
Round 26 global test acc  88.7800
Round 27 global test acc  89.8400
Round 28 global test acc  90.8800
Round 29 global test acc  88.7100
Round 30 global test acc  89.5300
Round 31 global test acc  90.5500
Round 32 global test acc  90.1400
Round 33 global test acc  89.4700
Round 34 global test acc  91.7200
Round 35 global test acc  90.2400
Round 36 global test acc  91.2100
Round 37 global test acc  89.9300
Round 38 global test acc  90.9800
Round 39 global test acc  92.3300
Round 40 global test acc  90.6200
Round 41 global test acc  89.2100
Round 42 global test acc  92.2600
Round 43 global test acc  90.0200
Round 44 global test acc  91.4900
Round 45 global test acc  92.5400
Round 46 global test acc  93.7400
Round 47 global test acc  92.3900
Round 48 global test acc  93.6100
Round 49 global test acc  92.7000
Round 50 global test acc  90.5900
Round 51 global test acc  92.4400
Round 52 global test acc  92.2700
Round 53 global test acc  93.1300
Round 54 global test acc  93.1800
Round 55 global test acc  92.2200
Round 56 global test acc  92.5700
Round 57 global test acc  89.2000
Round 58 global test acc  92.6300
Round 59 global test acc  85.8300
Round 60 global test acc  93.7400
Round 61 global test acc  92.8300
Round 62 global test acc  91.2900
Round 63 global test acc  93.2300
Round 64 global test acc  93.3600
Round 65 global test acc  91.4400
Round 66 global test acc  93.9200
Round 67 global test acc  94.2400
Round 68 global test acc  92.7300
Round 69 global test acc  93.4300
Round 70 global test acc  94.7100
Round 71 global test acc  93.5900
Round 72 global test acc  94.7200
Round 73 global test acc  93.3500
Round 74 global test acc  91.4000
Round 75 global test acc  91.1100
Round 76 global test acc  92.6000
Round 77 global test acc  94.6200
Round 78 global test acc  92.9400
Round 79 global test acc  93.9400
Round 80 global test acc  91.4700
Round 81 global test acc  94.3200
Round 82 global test acc  93.7700
Round 83 global test acc  94.1400
Round 84 global test acc  94.7900
Round 85 global test acc  94.5900
Round 86 global test acc  93.3700
Round 87 global test acc  93.2000
Round 88 global test acc  94.2100
Round 89 global test acc  94.5100
Round 90 global test acc  93.9000
Round 91 global test acc  94.5600
Round 92 global test acc  93.8500
Round 93 global test acc  94.7400
Round 94 global test acc  94.3200
Round 95 global test acc  94.0700
Round 96 global test acc  95.4600
Round 97 global test acc  93.8500
Round 98 global test acc  95.0300
Round 99 global test acc  94.9300
Round 100 global test acc  94.1800
Round 101 global test acc  94.0400
Round 102 global test acc  93.9800
Round 103 global test acc  93.7900
Round 104 global test acc  94.9900
Round 105 global test acc  94.5100
Round 106 global test acc  93.7200
Round 107 global test acc  94.2900
Round 108 global test acc  94.0800
Round 109 global test acc  93.6800
Round 110 global test acc  94.7900
Round 111 global test acc  94.1800
Round 112 global test acc  94.4400
Round 113 global test acc  93.7600
Round 114 global test acc  93.2200
Round 115 global test acc  94.0500
Round 116 global test acc  94.1900
Round 117 global test acc  94.6600
Round 118 global test acc  94.9600
Round 119 global test acc  94.9900
Round 120 global test acc  92.5800
Round 121 global test acc  92.2800
Round 122 global test acc  93.9800
Round 123 global test acc  94.7400
Round 124 global test acc  87.0500
Round 125 global test acc  90.6600
Round 126 global test acc  92.8700
Round 127 global test acc  94.0100
Round 128 global test acc  94.0900
Round 129 global test acc  94.8200
Round 130 global test acc  94.6300
Round 131 global test acc  93.4500
Round 132 global test acc  93.7000
Round 133 global test acc  93.9500
Round 134 global test acc  93.5100
Round 135 global test acc  95.6500
Round 136 global test acc  95.1600
Round 137 global test acc  94.9700
Round 138 global test acc  93.2800
Round 139 global test acc  94.0600
Round 140 global test acc  94.6300
Round 141 global test acc  94.4600
Round 142 global test acc  93.9000
Round 143 global test acc  94.7500
Round 144 global test acc  94.9400
Round 145 global test acc  95.6700
Round 146 global test acc  94.5900
Round 147 global test acc  95.4300
Round 148 global test acc  94.9100
Round 149 global test acc  94.7300
Round 150 global test acc  93.5400
Round 151 global test acc  95.2100
Round 152 global test acc  92.8300
Round 153 global test acc  94.6200
Round 154 global test acc  95.2400
Round 155 global test acc  94.2100
Round 156 global test acc  94.1500
Round 157 global test acc  94.7800
Round 158 global test acc  95.6800
Round 159 global test acc  95.3900
Round 160 global test acc  91.8100
Round 161 global test acc  94.6100
Round 162 global test acc  95.1000
Round 163 global test acc  95.7700
Round 164 global test acc  95.0800
Round 165 global test acc  95.1800
Round 166 global test acc  94.2000
Round 167 global test acc  93.5900
Round 168 global test acc  95.4700
Round 169 global test acc  94.1000
Round 170 global test acc  93.2700
Round 171 global test acc  94.4200
Round 172 global test acc  94.6100
Round 173 global test acc  95.2400
Round 174 global test acc  95.6400
Round 175 global test acc  95.2100
Round 176 global test acc  94.6400
Round 177 global test acc  93.3500
Round 178 global test acc  95.3300
Round 179 global test acc  95.6200
Round 180 global test acc  94.7000
Round 181 global test acc  96.3300
Round 182 global test acc  93.6500
Round 183 global test acc  93.0400
Round 184 global test acc  93.1700
Round 185 global test acc  94.8800
Round 186 global test acc  92.6400
Round 187 global test acc  95.1900
Round 188 global test acc  93.1700
Round 189 global test acc  93.5200
Round 190 global test acc  92.9800
Round 191 global test acc  93.1200
Round 192 global test acc  94.6900
Round 193 global test acc  95.6000
Round 194 global test acc  94.5600
Round 195 global test acc  94.8400
Round 196 global test acc  94.2900
Round 197 global test acc  94.2600
Round 198 global test acc  95.0100
Round 199 global test acc  94.4600
time : 3097.699366092682
('algorithm', 'FedProx')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.7)
('dataset', 'mnist')
('iid', True)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('mu', 0.01)
('device', device(type='cuda', index=0))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7467
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8850
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5900
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5967
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8500
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5417
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7600
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.4783
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5183
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.5117
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.8050
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.5383
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.5250
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5683
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5783
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.5017
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5783
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7650
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.8083
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5383
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7067
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8817
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.7067
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6000
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4567
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8483
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8183
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.5100
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.5200
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8383
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.7083
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.6167
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.4867
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.5100
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.7133
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7650
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8800
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.7883
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6083
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7917
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4883
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7467
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.7850
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4267
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6117
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5283
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.6050
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5667
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.5767
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.4817
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7850
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4833
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.7167
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5233
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6617
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5500
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.6417
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6700
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5267
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.4400
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8250
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.6383
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5383
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8017
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8717
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.8167
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7833
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.5100
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8400
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.7333
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8367
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.7100
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.4733
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.9100
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.5083
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7767
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.6067
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5450
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.5167
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7783
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5617
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.6950
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8700
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5417
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.4900
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6083
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.8083
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8883
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.5150
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6033
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5450
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5217
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5900
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.7967
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.5300
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8333
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.8017
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7300
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.5650
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.5417
Round 0 global test acc  45.3700
Round 1 global test acc  66.7900
Round 2 global test acc  69.4400
Round 3 global test acc  76.1500
Round 4 global test acc  81.1500
Round 5 global test acc  81.1600
Round 6 global test acc  79.1500
Round 7 global test acc  81.3900
Round 8 global test acc  83.4200
Round 9 global test acc  82.4400
Round 10 global test acc  86.6300
Round 11 global test acc  86.5000
Round 12 global test acc  85.3800
Round 13 global test acc  86.4500
Round 14 global test acc  87.2700
Round 15 global test acc  86.0500
Round 16 global test acc  86.5500
Round 17 global test acc  84.5100
Round 18 global test acc  87.3700
Round 19 global test acc  88.2500
Round 20 global test acc  85.4600
Round 21 global test acc  88.7300
Round 22 global test acc  84.9600
Round 23 global test acc  87.9700
Round 24 global test acc  89.4000
Round 25 global test acc  90.2300
Round 26 global test acc  88.9100
Round 27 global test acc  88.9900
Round 28 global test acc  90.5500
Round 29 global test acc  87.1200
Round 30 global test acc  88.6000
Round 31 global test acc  89.3100
Round 32 global test acc  90.1100
Round 33 global test acc  89.5100
Round 34 global test acc  91.7000
Round 35 global test acc  90.0200
Round 36 global test acc  91.2800
Round 37 global test acc  90.5600
Round 38 global test acc  90.9400
Round 39 global test acc  92.3200
Round 40 global test acc  90.6700
Round 41 global test acc  88.1700
Round 42 global test acc  91.9900
Round 43 global test acc  90.0100
Round 44 global test acc  90.6200
Round 45 global test acc  92.1700
Round 46 global test acc  93.6200
Round 47 global test acc  92.7000
Round 48 global test acc  93.1300
Round 49 global test acc  92.8300
Round 50 global test acc  90.7000
Round 51 global test acc  90.9700
Round 52 global test acc  90.7700
Round 53 global test acc  92.4900
Round 54 global test acc  93.0000
Round 55 global test acc  90.8600
Round 56 global test acc  90.8900
Round 57 global test acc  85.7800
Round 58 global test acc  92.0500
Round 59 global test acc  85.3900
Round 60 global test acc  93.3200
Round 61 global test acc  92.7300
Round 62 global test acc  91.0000
Round 63 global test acc  92.6900
Round 64 global test acc  93.0700
Round 65 global test acc  92.2100
Round 66 global test acc  94.0500
Round 67 global test acc  93.9400
Round 68 global test acc  91.2000
Round 69 global test acc  92.3800
Round 70 global test acc  93.9100
Round 71 global test acc  91.5700
Round 72 global test acc  93.2300
Round 73 global test acc  92.5900
Round 74 global test acc  86.2200
Round 75 global test acc  89.1300
Round 76 global test acc  92.3700
Round 77 global test acc  93.9800
Round 78 global test acc  93.0600
Round 79 global test acc  92.6600
Round 80 global test acc  90.2900
Round 81 global test acc  94.0000
Round 82 global test acc  92.9200
Round 83 global test acc  93.2000
Round 84 global test acc  94.0800
Round 85 global test acc  94.0100
Round 86 global test acc  92.7700
Round 87 global test acc  89.9400
Round 88 global test acc  94.6900
Round 89 global test acc  92.6800
Round 90 global test acc  91.8300
Round 91 global test acc  92.8900
Round 92 global test acc  93.8000
Round 93 global test acc  94.0300
Round 94 global test acc  94.1200
Round 95 global test acc  91.6800
Round 96 global test acc  94.6800
Round 97 global test acc  90.7500
Round 98 global test acc  94.0600
Round 99 global test acc  93.7600
Round 100 global test acc  93.7100
Round 101 global test acc  91.7600
Round 102 global test acc  93.1900
Round 103 global test acc  93.7000
Round 104 global test acc  94.0500
Round 105 global test acc  92.5000
Round 106 global test acc  91.9500
Round 107 global test acc  93.4800
Round 108 global test acc  92.7100
Round 109 global test acc  92.3200
Round 110 global test acc  92.9100
Round 111 global test acc  93.2000
Round 112 global test acc  92.4800
Round 113 global test acc  93.3400
Round 114 global test acc  89.9600
Round 115 global test acc  93.3000
Round 116 global test acc  93.5200
Round 117 global test acc  94.2500
Round 118 global test acc  93.2300
Round 119 global test acc  94.2900
Round 120 global test acc  93.0700
Round 121 global test acc  92.9500
Round 122 global test acc  94.5000
Round 123 global test acc  95.2300
Round 124 global test acc  86.6900
Round 125 global test acc  88.6300
Round 126 global test acc  92.5400
Round 127 global test acc  94.3200
Round 128 global test acc  94.0100
Round 129 global test acc  93.6100
Round 130 global test acc  93.8900
Round 131 global test acc  92.9500
Round 132 global test acc  93.1100
Round 133 global test acc  94.0900
Round 134 global test acc  90.6600
Round 135 global test acc  93.7400
Round 136 global test acc  93.7800
Round 137 global test acc  95.0700
Round 138 global test acc  90.5600
Round 139 global test acc  92.7100
Round 140 global test acc  93.6800
Round 141 global test acc  94.2400
Round 142 global test acc  92.4700
Round 143 global test acc  93.6900
